A/Antalya/214/2017				EPI1045179		EPI1045178		
353600								
A/Jordan/20170030015/2017				EPI1036093		EPI1036094		
A/Norway/2184/2017				EPI1043052		EPI1043053		
A/SPetersburg/RII-313S/2017	EPI1181252	EPI1181253	EPI1181251	EPI1181255	EPI1181248	EPI1181254		EPI1181248
A/Taiwan/469/2017				EPI1046844		EPI1046843		
A/Taiwan/515/2017				EPI1046840		EPI1046839		
A/Alaska/34/2017	EPI1056161	EPI1056162	EPI1056160	EPI1056164	EPI1056157	EPI1056163		EPI1056157
A/Sweden/14/2017	EPI946187	EPI946186	EPI946184	EPI946191	EPI946185	EPI946190		EPI946185
351395								
352189								
19688218								
A/Kalmar/1/2017	EPI995803	EPI995802	EPI995800	EPI995807	EPI995801	EPI995806		EPI995801
A/Kazakhstan/2/2017	EPI1079441	EPI1079442	EPI1079440	EPI1079444	EPI1079437	EPI1079443		EPI1079437
A/Jordan/20157/2017				EPI1043038		EPI1043039		
A/Newcastle/32/2017				EPI1022205		EPI1022204		
A/Bahia/307/2017	EPI1183673	EPI1183674	EPI1183672	EPI1183676	EPI1183669	EPI1183675		EPI1183669
A/Perth/55/2017				EPI1022250		EPI1022249		
A/Perth/34/2017				EPI1022109		EPI1022108		
A/Perth/43/2017				EPI1022079		EPI1022078		
A/Perth/45/2017				EPI1022076		EPI1022075		
A/Perth/69/2017				EPI1031542		EPI1031541		
A/Perth/20/2017				EPI1022097		EPI1022096		
A/SouthAustralia/28/2017				EPI1022133		EPI1022132		
A/Newcastle/14/2017				EPI1022031		EPI1022030		
A/Perth/11/2017				EPI1022094		EPI1022093		
A/RiodeJaneiro/1872/2016				EPI1040822		EPI1040821		
A/Brisbane/290/2016				EPI892990		EPI892989		
A/Lao/3008/2016		EPI870209	EPI870208	EPI870211	EPI870205	EPI870210		EPI870205
350667								
A/Lao/F3205/2016	EPI904123	EPI904124	EPI904122	EPI904126	EPI904119	EPI904125		EPI904119
362331								
A/Finland/650/2016				EPI867901		EPI867902		
A/Finland/649/2016				EPI867899		EPI867900		
A/Moldova/401/2017				EPI960102		EPI960103		
A/Phetchaburi/389/2016				EPI919408		EPI919407		
A/Dnipro/718/2016				EPI1010426		EPI1010427		
A/Fiji/64/2017				EPI1031692		EPI1031691		
A/Fiji/54/2017				EPI1044699		EPI1044698		
A/SouthAustralia/76/2017				EPI1022439		EPI1022438		
A/Fiji/52/2017				EPI1044696		EPI1044695		
A/Nonthaburi/332/2016	EPI925020	EPI925021	EPI925019	EPI925023	EPI925016	EPI925022		EPI925016
A/Kanagawa/ZC1601/2016	EPI863893	EPI863894	EPI863892	EPI860536	EPI863889	EPI860535		EPI863889
A/Norway/4396/2016				EPI864036		EPI868808		
A/Skovde/4/2016	EPI867340	EPI867339	EPI867337	EPI867344	EPI867338	EPI867343		EPI867338
A/Catalonia/NSVH100545385/2017				EPI897569		EPI897568		
A/Catalonia/NSVH100542943/2017				EPI882001		EPI882000		
A/Phetchaburi/408/2016	EPI925052	EPI925053	EPI925051	EPI925055	EPI925048	EPI925054		EPI925048
A/Nakhonphanom/410/2016	EPI925060	EPI925061	EPI925059	EPI925063	EPI925056	EPI925062		EPI925056
A/Denmark/51/2016				EPI967195		EPI967196		
A/Taiwan/859/2016	EPI924781	EPI924782	EPI924780	EPI976294	EPI924777	EPI924783		EPI924777
A/England/64580215/2016	EPI1023923	EPI1023924	EPI1023922	EPI1023926	EPI1023919	EPI1023925		EPI1023919
A/PhraNakhonSiAyutthaya/434/2016				EPI919155		EPI919154		
